town,category,subcategory,amount,pdf_url,pdf_page,notes
Belmont,Capital,Total Capital,6880876,https://www.belmont-ma.gov/DocumentCenter/View/9065/FY2026---Final-Budget-Recommendation---3-21-2025,3,Budget Overview I-1
Belmont,Other Insurance,Workers Compensation (2320),465076,https://www.belmont-ma.gov/DocumentCenter/View/9065/FY2026---Final-Budget-Recommendation---3-21-2025,6,III-3
Belmont,Other Insurance,Unemployment (2310),90000,https://www.belmont-ma.gov/DocumentCenter/View/9065/FY2026---Final-Budget-Recommendation---3-21-2025,6,III-3
Belmont,Other Insurance,Medicare (2220),1182323,https://www.belmont-ma.gov/DocumentCenter/View/9065/FY2026---Final-Budget-Recommendation---3-21-2025,6,III-3
Belmont,Other Insurance,Liability Insurance (2400),823826,https://www.belmont-ma.gov/DocumentCenter/View/9065/FY2026---Final-Budget-Recommendation---3-21-2025,6,III-3
Belmont,Other Insurance,Deductible Reserves (2410),33383,https://www.belmont-ma.gov/DocumentCenter/View/9065/FY2026---Final-Budget-Recommendation---3-21-2025,6,III-3
Belmont,Other Insurance,Total Other Insurance,2594608,https://www.belmont-ma.gov/DocumentCenter/View/9065/FY2026---Final-Budget-Recommendation---3-21-2025,6,III-3; sum of 5 insurance line items
Belmont,Enterprise,Water Enterprise,8121906,https://www.belmont-ma.gov/DocumentCenter/View/9065/FY2026---Final-Budget-Recommendation---3-21-2025,8,III-6
Belmont,Enterprise,Sewer Enterprise,10985551,https://www.belmont-ma.gov/DocumentCenter/View/9065/FY2026---Final-Budget-Recommendation---3-21-2025,8,III-6
Belmont,Enterprise,Total Enterprise,19107457,https://www.belmont-ma.gov/DocumentCenter/View/9065/FY2026---Final-Budget-Recommendation---3-21-2025,8,III-6
Belmont,Other/Misc,Warrant Committee Reserve (2450),500000,https://www.belmont-ma.gov/DocumentCenter/View/9065/FY2026---Final-Budget-Recommendation---3-21-2025,6,III-3
Belmont,Other/Misc,OPEB Contribution,440364,https://www.belmont-ma.gov/DocumentCenter/View/9065/FY2026---Final-Budget-Recommendation---3-21-2025,8,III-5; Other Warrant Articles
Belmont,Other/Misc,Capital Stabilization Fund,0,https://www.belmont-ma.gov/DocumentCenter/View/9065/FY2026---Final-Budget-Recommendation---3-21-2025,8,III-5; zeroed out
Belmont,Other/Misc,General Stabilization Fund,0,https://www.belmont-ma.gov/DocumentCenter/View/9065/FY2026---Final-Budget-Recommendation---3-21-2025,8,III-5; zeroed out
Belmont,Other/Misc,Override Mitigation Fund,0,https://www.belmont-ma.gov/DocumentCenter/View/9065/FY2026---Final-Budget-Recommendation---3-21-2025,8,III-5; zeroed out
Belmont,Other/Misc,Student Info System Replacement,0,https://www.belmont-ma.gov/DocumentCenter/View/9065/FY2026---Final-Budget-Recommendation---3-21-2025,8,III-5; zeroed out
Belmont,Other/Misc,Total Other/Misc,940364,https://www.belmont-ma.gov/DocumentCenter/View/9065/FY2026---Final-Budget-Recommendation---3-21-2025,3,Budget Overview I-1; WC Reserve + OPEB + zeroed funds
