town,category,subcategory,amount,pdf_url,pdf_page,notes
Winchester,Other Insurance,Medicare Tax,1306463,https://www.winchester.us/ArchiveCenter/ViewFile/Item/260,13,Line 9150
Winchester,Other Insurance,GASB OPEB Fund,0,https://www.winchester.us/ArchiveCenter/ViewFile/Item/260,13,Line 9623; $0 in FY26 Manager but $350000 in FY26 Request
Winchester,Other Insurance,Unemployment Comp,100000,https://www.winchester.us/ArchiveCenter/ViewFile/Item/260,13,Line 9130
Winchester,Other Insurance,Total Other Insurance,2197069,https://www.winchester.us/ArchiveCenter/ViewFile/Item/260,13,Workers Comp + General Insurance + Medicare + OPEB ($0) + Unemployment; OPEB shows $0 in FY26 Manager
Winchester,Enterprise,Water and Sewer,5024008,https://www.winchester.us/ArchiveCenter/ViewFile/Item/260,13,Under OTHER section
Winchester,Enterprise,Total Enterprise,5024008,https://www.winchester.us/ArchiveCenter/ViewFile/Item/260,13,Water and Sewer transfer
Winchester,Energy,Energy,2234456,https://www.winchester.us/ArchiveCenter/ViewFile/Item/260,13,Line 1910
Winchester,Energy,Total Energy,2234456,https://www.winchester.us/ArchiveCenter/ViewFile/Item/260,13,Single line item
Winchester,Other/Misc,State Assessments,675560,https://www.winchester.us/ArchiveCenter/ViewFile/Item/260,13,Non-Appropriated
Winchester,Other/Misc,Allowance for Abatements/Overlay,313288,https://www.winchester.us/ArchiveCenter/ViewFile/Item/260,13,Non-Appropriated
Winchester,Other/Misc,Cherry Sheet Offsets,55561,https://www.winchester.us/ArchiveCenter/ViewFile/Item/260,13,Non-Appropriated
Winchester,Other/Misc,Reserve Fund,400000,https://www.winchester.us/ArchiveCenter/ViewFile/Item/260,13,Appropriated
Winchester,Other/Misc,Environmental Remediation,54000,https://www.winchester.us/ArchiveCenter/ViewFile/Item/260,13,Appropriated
Winchester,Other/Misc,Recreation General Fund Subsidy,175000,https://www.winchester.us/ArchiveCenter/ViewFile/Item/260,13,Under OTHER section
Winchester,Other/Misc,Transfer to Cultural Council,10000,https://www.winchester.us/ArchiveCenter/ViewFile/Item/260,13,Under OTHER section
Winchester,Other/Misc,Other Special Article Appropriations,15000,https://www.winchester.us/ArchiveCenter/ViewFile/Item/260,13,Under OTHER section
Winchester,Other/Misc,Capital/Strategic Maintenance from Free Cash,100000,https://www.winchester.us/ArchiveCenter/ViewFile/Item/260,13,Under OTHER section
Winchester,Other/Misc,Unallocated Expenses,700000,https://www.winchester.us/ArchiveCenter/ViewFile/Item/260,13,From gross expenses total
Winchester,Other/Misc,Total Other/Misc,3272477,https://www.winchester.us/ArchiveCenter/ViewFile/Item/260,13,State Assessments + Overlay + Cherry Sheet Offsets + Reserve Fund + Environmental Remediation + Recreation Subsidy + Cultural Council + Special Articles + Strategic Maintenance; excludes Unallocated Expenses
