town,category,subcategory,amount,pdf_url,pdf_page,notes
Stoneham,General Government,171 Conservation - Part-Time Salaries,53831,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,171 Conservation - Total Salaries,53831,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,171 Conservation - Printing Services,150,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,171 Conservation - Office Supplies,850,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,171 Conservation - Contract Services,15000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,171 Conservation - Education and Training,100,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,171 Conservation - Dues & Subscriptions,660,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,171 Conservation - Total Expenses,16760,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,171 Conservation - TOTAL,70591,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,182 Planning Bd/ZBA - Part-Time Salaries,20000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,182 Planning Bd/ZBA - Total Salaries,20000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,182 Planning Bd/ZBA - Education & Training,342,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,182 Planning Bd/ZBA - Advertising,1000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,182 Planning Bd/ZBA - Printing Services,950,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,182 Planning Bd/ZBA - Office Supplies,1500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,182 Planning Bd/ZBA - Total Expenses,3792,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,182 Planning Bd/ZBA - TOTAL,23792,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,185 Economic & Community Dev - Full-Time Salaries,114396,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,185 Economic & Community Dev - Total Salaries,114396,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,185 Economic & Community Dev - Professional Services,55000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,185 Economic & Community Dev - Education & Training,1000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,185 Economic & Community Dev - Office Supplies,800,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,185 Economic & Community Dev - In State Travel,1020,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,185 Economic & Community Dev - Dues,1000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,185 Economic & Community Dev - Total Expenses,58820,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,185 Economic & Community Dev - TOTAL,173216,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,General Government,TOTAL GENERAL GOVERNMENT,2838204,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,Sum of all General Government departments
Stoneham,Facilities,192 Public Property Maintenance - Full-Time Salaries,190797,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,Facilities,192 Public Property Maintenance - Car Allowance,1463,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,Facilities,192 Public Property Maintenance - Total Salaries,192260,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,Facilities,192 Public Property Maintenance - Electric,36850,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,Facilities,192 Public Property Maintenance - Gas,16500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,Facilities,192 Public Property Maintenance - Repairs & Maintenance,117000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,Facilities,192 Public Property Maintenance - Custodial Supplies,6000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,Facilities,192 Public Property Maintenance - Total Expenses,176350,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,Facilities,192 Public Property Maintenance - TOTAL,368610,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,Facilities,TOTAL FACILITIES,368610,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,3,
Stoneham,Public Safety,210 Police - Full-Time Salaries,4606906,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Part-Time Salaries,124786,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Overtime,430000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - OT Train,125000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Sick Time Incentive,11000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Court,64140,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Uniform & Clothing Allowance,33000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Total Salaries,5394832,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Electric,72000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Gas,37000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Repairs & Maintenance,38330,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Professional Services,28300,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Education & Training,16600,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Advertising,200,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Tuition,19000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Telephone,14500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Other Purchased Services,10500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Office Supplies,19600,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Maintenance Supplies,8000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Food Service Supplies,1500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Educational Supplies,5000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Public Safety,58600,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Uniform & Clothing Expense,48500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - In State Travel,10500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Dues & Subscriptions,14910,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Ballistic Body Armor,8400,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - Total Expenses,411440,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,210 Police - TOTAL,5806272,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,4,
Stoneham,Public Safety,211 Traffic Directors - Part-Time Salaries,178307,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,5,
Stoneham,Public Safety,211 Traffic Directors - Total Salaries,178307,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,5,
Stoneham,Public Safety,211 Traffic Directors - Uniform & Clothing Expense,4500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,5,
Stoneham,Public Safety,211 Traffic Directors - Total Expenses,4500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,5,
Stoneham,Public Safety,211 Traffic Directors - TOTAL,182807,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,5,
Stoneham,Public Safety,212 Dispatch - Full-Time Salaries,441110,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,5,
Stoneham,Public Safety,212 Dispatch - Part-Time Salaries,13000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,5,
Stoneham,Public Safety,212 Dispatch - Overtime,65000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,5,
Stoneham,Public Safety,212 Dispatch - Holiday Differential,8750,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,5,
Stoneham,Public Safety,212 Dispatch - Total Salaries,527860,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,5,
Stoneham,Public Safety,212 Dispatch - Repairs & Maintenance,19000,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,5,
Stoneham,Public Safety,212 Dispatch - Education & Training,2500,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,5,
Stoneham,Public Safety,212 Dispatch - Telephone,200,https://www.stoneham-ma.gov/DocumentCenter/View/10510/FY26-LINE-ITEM-BUDGET-041725,5,
